*GUI(640301)*TOUCH_DOWN:(116,186)
*GUI(640401)*TOUCH_UP:(116,186)
*GUI(641301)*CLICK_DOUBLE:(112,191)
*GUI(641301)*TOUCH_UP:(98,201)
*GUI(641901)*TOUCH_DOWN:(198,208)
*GUI(642001)*TOUCH_UP:(198,208)
*GUI(642601)*TOUCH_DOWN:(235,204)
*GUI(642701)*TOUCH_UP:(236,204)
*GUI(643501)*CLICK_DOUBLE:(239,202)
*GUI(643601)*TOUCH_UP:(239,202)
*GUI(644001)*TOUCH_DOWN:(239,202)
*GUI(644101)*TOUCH_UP:(239,202)
*GUI(644601)*CLICK_DOUBLE:(239,202)
*GUI(644701)*TOUCH_UP:(239,202)
*GUI(645001)*TOUCH_DOWN:(239,202)
*GUI(645101)*TOUCH_UP:(240,202)
*GUI(645601)*CLICK_DOUBLE:(240,202)
*GUI(645701)*TOUCH_UP:(240,202)
*GUI(646001)*TOUCH_DOWN:(240,202)
*GUI(646101)*TOUCH_UP:(240,202)
*GUI(646501)*TOUCH_DOWN:(240,202)
*GUI(646601)*TOUCH_UP:(240,202)
*GUI(647501)*TOUCH_DOWN:(240,202)
*GUI(647601)*TOUCH_UP:(240,202)
*GUI(652001)*TOUCH_DOWN:(212,194)
*GUI(652001)*TOUCH_UP:(212,194)
*GUI(652601)*CLICK_DOUBLE:(210,195)
*GUI(652701)*TOUCH_UP:(210,195)
*GUI(656201)*TOUCH_DOWN:(210,195)
*GUI(656301)*TOUCH_UP:(210,195)
*GUI(656501)*CLICK_DOUBLE:(210,195)
*GUI(656601)*TOUCH_UP:(210,195)
*GUI(662501)*TOUCH_DOWN:(194,201)
*GUI(662501)*TOUCH_UP:(196,199)
*GUI(663401)*TOUCH_DOWN:(197,199)
*GUI(663401)*TOUCH_UP:(197,198)
*GUI(664601)*TOUCH_DOWN:(158,203)
*GUI(664701)*TOUCH_UP:(158,203)
*GUI(665601)*TOUCH_DOWN:(106,203)
*GUI(665601)*TOUCH_UP:(106,203)
*GUI(668401)*TOUCH_DOWN:(106,203)
*GUI(668401)*TOUCH_UP:(106,203)
*GUI(668701)*TOUCH_DOWN:(179,201)
*GUI(668801)*TOUCH_UP:(177,201)
*GUI(669401)*TOUCH_DOWN:(190,89)
